config_model_size,config_context_length,config_batch_size,config_mode,config_precision,mean_seconds,stdev_seconds,peak_reserved_gb,peak_device_used_gb,snapshot_path
2.7b,128,1,forward,bf16,0.0878590775973862,0.008641257282527225,19.333984375,19.333984375,
2.7b,128,1,forward,fp32,0.15942949160235004,0.006671406527227786,12.859375,12.859375,
2.7b,128,1,forward_backward,bf16,0.3458763686940074,0.00823169299572464,32.95703125,32.95703125,
2.7b,128,1,forward_backward,fp32,0.6916222015046515,0.11529872396236264,26.978515625,26.978515625,
2.7b,128,1,train_step,bf16,1.4100022949947744,0.13109291383770802,59.11328125,59.11328125,
2.7b,128,1,train_step,fp32,0.7085516579914838,0.0013780081763065904,53.232421875,53.232421875,
2.7b,256,1,forward,bf16,0.1370588429068448,0.007514295767584043,19.517578125,19.517578125,
2.7b,256,1,forward,fp32,0.2395432830991922,0.007573687444972114,12.896484375,12.896484375,
2.7b,256,1,forward_backward,bf16,0.39791157290164847,0.004926073776741257,33.8515625,33.8515625,
2.7b,256,1,forward_backward,fp32,0.7596350934007206,0.009469689710372525,28.61328125,28.61328125,
2.7b,256,1,train_step,bf16,1.3137323780974839,0.1368928711691617,60.103515625,60.103515625,
2.7b,256,1,train_step,fp32,1.8075616521993652,0.12971280072690833,54.8671875,54.8671875,
2.7b,512,1,forward,bf16,0.1271552184014581,0.031470372408541405,19.654296875,19.654296875,
2.7b,512,1,forward,fp32,0.2984779703983804,0.007066154172294136,13.001953125,13.001953125,
2.7b,512,1,forward_backward,bf16,0.5295168351964094,0.006066359569303142,35.9453125,35.9453125,
2.7b,512,1,forward_backward,fp32,1.4745181241014507,0.1748002751930623,29.435546875,29.435546875,
2.7b,512,1,train_step,bf16,1.644930061098421,0.20169263362689402,62.486328125,62.486328125,
2.7b,512,1,train_step,fp32,2.2761053106019973,0.08274078804450904,55.787109375,55.787109375,
2.7b,1024,1,forward,bf16,0.29519153470464515,0.004048175071713277,19.689453125,19.689453125,
2.7b,1024,1,forward,fp32,0.8760650316020474,0.006390653448296763,13.408203125,13.408203125,
2.7b,1024,1,forward_backward,bf16,0.9028419501031749,0.13652820927263756,40.44921875,40.44921875,
2.7b,1024,1,forward_backward,fp32,1.835171333499602,0.3157699840989419,31.810546875,31.810546875,
2.7b,1024,1,train_step,bf16,1.4436156071984443,0.006746901329378295,66.076171875,66.076171875,
2.7b,1024,1,train_step,fp32,1.727744261699263,0.0014533566689391478,57.2734375,57.2734375,
large,128,1,forward,bf16,0.04637731360271573,0.0031268091603607285,5.853515625,5.853515625,
large,128,1,forward,fp32,0.04283169560076203,0.0027231787594988134,3.802734375,3.802734375,
large,128,1,forward_backward,bf16,0.15999353209335823,0.016581032081675943,9.81640625,9.81640625,
large,128,1,forward_backward,fp32,0.11261488430027385,0.00115871417173954,7.921875,7.921875,
large,128,1,train_step,bf16,0.24651029089582152,0.047525090456330625,17.734375,17.734375,
large,128,1,train_step,fp32,0.23808097099827136,0.03250290206789329,15.841796875,15.841796875,
large,256,1,forward,bf16,0.04405324840336107,0.0025874435261495615,5.857421875,5.857421875,
large,256,1,forward,fp32,0.054085596097866076,0.005498159034575922,3.8203125,3.8203125,
large,256,1,forward_backward,bf16,0.13958622119680514,0.00441973044917888,10.365234375,10.365234375,
large,256,1,forward_backward,fp32,0.22421027040400077,0.0020041348574918313,8.33203125,8.33203125,
large,256,1,train_step,bf16,0.24979944759979844,0.004622117565004753,18.185546875,18.185546875,
large,256,1,train_step,fp32,0.3349960857012775,0.0037862442662718867,15.986328125,15.986328125,
large,512,1,forward,bf16,0.05026499260275159,0.006220165573829898,5.9140625,5.9140625,
large,512,1,forward,fp32,0.12139784810133278,0.004080498862700731,3.896484375,3.896484375,
large,512,1,forward_backward,bf16,0.1760686484980397,0.006810390936680601,11.265625,11.265625,
large,512,1,forward_backward,fp32,0.3493821745971218,0.004750180009484826,10.8046875,10.8046875,
large,512,1,train_step,bf16,0.28630324139958246,0.005181255381150631,18.93359375,18.93359375,
large,512,1,train_step,fp32,0.46156815469730644,0.0020808137423672804,17.5078125,17.5078125,
large,1024,1,forward,bf16,0.09446028750389815,0.004869641805212109,5.947265625,5.947265625,
large,1024,1,forward,fp32,0.2278527459013276,0.0003293872910783741,4.150390625,4.150390625,
large,1024,1,forward_backward,bf16,0.3327652015927015,0.004920961711637009,13.859375,13.859375,
large,1024,1,forward_backward,fp32,0.6974006141943392,0.0010010210487607317,15.36328125,15.36328125,
large,1024,1,train_step,bf16,0.44106157360074577,0.005842730650089528,21.255859375,21.255859375,
large,1024,1,train_step,fp32,0.8023031650984194,0.004785469994757169,22.62109375,22.62109375,
medium,128,1,forward,bf16,0.028383493202272802,0.0011316729756332424,2.38671875,2.38671875,
medium,128,1,forward,fp32,0.0256542590999743,0.001108777148080305,1.607421875,1.607421875,
medium,128,1,forward_backward,bf16,0.06676627910055685,0.0032556284746942266,4.263671875,4.263671875,
medium,128,1,forward_backward,fp32,0.06459847419464496,0.006468760493376691,3.421875,3.421875,
medium,128,1,train_step,bf16,0.09642480819311458,0.0006403156482001693,7.662109375,7.662109375,
medium,128,1,train_step,fp32,0.10221222890249919,0.000846468177707979,6.845703125,6.845703125,
medium,256,1,forward,bf16,0.028955749407759867,0.0016467998803947664,2.38671875,2.38671875,
medium,256,1,forward,fp32,0.02700342629395891,0.0022585739599786003,1.626953125,1.626953125,
medium,256,1,forward_backward,bf16,0.06861486680281814,0.0036424161917803528,4.439453125,4.439453125,
medium,256,1,forward_backward,fp32,0.07320200569520238,0.00412776626488997,3.515625,3.515625,
medium,256,1,train_step,bf16,0.09871038930432405,0.0004903869346779899,7.845703125,7.845703125,
medium,256,1,train_step,fp32,0.11257600910321344,0.0018238823832687709,6.92578125,6.92578125,
medium,512,1,forward,bf16,0.028986396800610235,0.0011561780462457558,2.39453125,2.39453125,
medium,512,1,forward,fp32,0.04066812439705245,0.005550537144306325,1.685546875,1.685546875,
medium,512,1,forward_backward,bf16,0.0717604642995866,0.0074156653965678195,4.810546875,4.810546875,
medium,512,1,forward_backward,fp32,0.11988397819804959,0.0007506789722131641,3.9453125,3.9453125,
medium,512,1,train_step,bf16,0.1074463589960942,0.0007530837089669741,8.169921875,8.169921875,
medium,512,1,train_step,fp32,0.1414155665988801,0.002117620212078916,7.26171875,7.26171875,
medium,1024,1,forward,bf16,0.037282291197334415,0.003919115278069048,2.576171875,2.576171875,
medium,1024,1,forward,fp32,0.06982490160153247,0.0011869551669723684,1.931640625,1.931640625,
medium,1024,1,forward_backward,bf16,0.11815269780054223,0.005025114869677079,6.8828125,6.8828125,
medium,1024,1,forward_backward,fp32,0.19838947089738213,0.03483599410200219,7.896484375,7.896484375,
medium,1024,1,train_step,bf16,0.14532596649951302,0.0046118277381201715,10.03515625,10.03515625,
medium,1024,1,train_step,fp32,0.26136422829004,0.0006940059339588492,11.076171875,11.076171875,
small,128,1,forward,bf16,0.015990019802120514,0.0015445776179714146,0.763671875,0.763671875,
small,128,1,forward,fp32,0.013126010101404972,0.0004314473547808187,0.552734375,0.552734375,
small,128,1,forward_backward,bf16,0.03400185680366121,0.0013026944590634761,1.3984375,1.3984375,
small,128,1,forward_backward,fp32,0.030611884003155863,0.0021185008817854187,1.154296875,1.154296875,
small,128,1,train_step,bf16,0.04594572200148832,0.0034822012923949033,2.650390625,2.650390625,
small,128,1,train_step,fp32,0.045653684603166766,0.0030021308097011256,2.404296875,2.404296875,
small,256,1,forward,bf16,0.014731487797689624,0.0011507626120025665,0.763671875,0.763671875,
small,256,1,forward,fp32,0.013729777300613932,0.002109301912358969,0.57421875,0.57421875,
small,256,1,forward_backward,bf16,0.03628440200118348,0.0026597301776563327,1.453125,1.453125,
small,256,1,forward_backward,fp32,0.037251634002313946,0.003284591733955461,1.255859375,1.255859375,
small,256,1,train_step,bf16,0.04555561350134667,0.002615482307127196,2.654296875,2.654296875,
small,256,1,train_step,fp32,0.04962841619853862,0.002842197059657584,2.486328125,2.486328125,
small,512,1,forward,bf16,0.014797303997329436,0.0011604352454455688,0.79296875,0.79296875,
small,512,1,forward,fp32,0.016944957300438546,0.0017889062557115162,0.6171875,0.6171875,
small,512,1,forward_backward,bf16,0.03631748220650479,0.0028976614911290564,1.630859375,1.630859375,
small,512,1,forward_backward,fp32,0.051889406703412536,0.002514956015834958,1.48828125,1.48828125,
small,512,1,train_step,bf16,0.048129047395195815,0.0024199532819604666,2.7578125,2.7578125,
small,512,1,train_step,fp32,0.0594834795978386,0.0038977017781964135,2.609375,2.609375,
small,1024,1,forward,bf16,0.01574018830433488,0.0011263399903493404,0.896484375,0.896484375,
small,1024,1,forward,fp32,0.027429969902732408,0.006597472376951443,0.755859375,0.755859375,
small,1024,1,forward_backward,bf16,0.05150782220298424,0.002431653900123898,2.662109375,2.662109375,
small,1024,1,forward_backward,fp32,0.08070066710060927,0.004292026440015541,3.095703125,3.095703125,
small,1024,1,train_step,bf16,0.05912940529815387,0.0033174557692928295,3.662109375,3.662109375,
small,1024,1,train_step,fp32,0.09342747970367782,0.00657424050813219,4.142578125,4.142578125,
xl,128,1,forward,bf16,0.06184302709880285,0.0043659885498905536,11.4296875,11.4296875,
xl,128,1,forward,fp32,0.08839313130301889,0.004639508961391527,7.6484375,7.6484375,
xl,128,1,forward_backward,bf16,0.2040711030975217,0.0063533968274073205,19.927734375,19.927734375,
xl,128,1,forward_backward,fp32,0.2721506581932772,0.0038890021596368445,16.173828125,16.173828125,
