config_implementation,config_dtype,config_sequence_length,config_d_model,status,forward_mean_seconds,backward_mean_seconds
compiled_naive,fp32,256,16,ok,0.009988656150526368,0.009651203240791802
compiled_naive,fp32,1024,16,ok,0.009952655821398365,0.00995781729085138
compiled_naive,fp32,4096,16,ok,0.011964503459457774,0.022836510890047065
compiled_naive,fp32,8192,16,ok,0.04794995178905083,0.0698506972900941
compiled_naive,fp32,16384,16,ok,0.14232421284075827,0.2148880538609228
compiled_naive,fp32,256,32,ok,0.007470823570911307,0.007622657429601531
compiled_naive,fp32,1024,32,ok,0.007609030669555068,0.007739838339621202
compiled_naive,fp32,4096,32,ok,0.017726064339803997,0.019169658779283054
compiled_naive,fp32,8192,32,ok,0.04812760351051111,0.06950924795120955
compiled_naive,fp32,16384,32,oom,,
compiled_naive,fp32,256,64,ok,0.007867158773879055,0.007844974406762049
compiled_naive,fp32,1024,64,ok,0.009774602529359981,0.007341104260995053
compiled_naive,fp32,4096,64,ok,0.01845857932261424,0.021492508388182615
compiled_naive,fp32,8192,64,ok,0.05720957918267231,0.08067921996931546
compiled_naive,fp32,16384,64,oom,,
compiled_naive,fp32,256,128,ok,0.008065791401313617,0.0075582076903083365
compiled_naive,fp32,1024,128,ok,0.00818584219116019,0.007515811630582903
compiled_naive,fp32,4096,128,ok,0.018929088491131552,0.028339349848683925
compiled_naive,fp32,8192,128,ok,0.07352564952947432,0.11016221189929638
compiled_naive,fp32,16384,128,oom,,
flash_pytorch,fp32,256,16,ok,0.008878748349961824,0.007994329808279872
flash_pytorch,fp32,1024,16,ok,0.01771768110920675,0.018689988641126545
flash_pytorch,fp32,4096,16,ok,0.22441083106998122,0.29207014922023516
flash_pytorch,fp32,8192,16,ok,0.8548087788009434,1.1995727472283761
flash_pytorch,fp32,16384,16,ok,3.2397782112518327,4.421601079870597
flash_pytorch,fp32,256,32,ok,0.007733411199296825,0.007835455979220569
flash_pytorch,fp32,1024,32,ok,0.018070223799732048,0.0188959074113518
flash_pytorch,fp32,4096,32,ok,0.21520091604004846,0.28214427860017166
flash_pytorch,fp32,8192,32,ok,0.8366304028290323,1.1874981911623035
flash_pytorch,fp32,16384,32,ok,3.2517240202214452,3.639378306810977
flash_pytorch,fp32,256,64,ok,0.005899922479875386,0.00540301894012373
flash_pytorch,fp32,1024,64,ok,0.01398092348332284,0.014746778367552907
flash_pytorch,fp32,4096,64,ok,0.16595028854935662,0.2329231878326391
flash_pytorch,fp32,8192,64,ok,0.6517528227306321,0.9192076786482357
flash_pytorch,fp32,16384,64,ok,2.5441632839586235,3.7140988831591675
flash_pytorch,fp32,256,128,ok,0.0058476407389389355,0.0057450154493562874
flash_pytorch,fp32,1024,128,ok,0.014243663339293562,0.015073515248659533
flash_pytorch,fp32,4096,128,ok,0.176525919570704,0.24899715803156142
flash_pytorch,fp32,8192,128,ok,0.6301043513783953,0.726605212877912
flash_pytorch,fp32,16384,128,ok,2.639601301202492,3.4260745210407184
flash_triton,fp32,256,16,ok,0.005633001331880223,0.005725693707936443
flash_triton,fp32,1024,16,ok,0.00572135719936341,0.014543774139019661
flash_triton,fp32,4096,16,ok,0.005722558759443928,0.21269266650080682
flash_triton,fp32,8192,16,ok,0.006073444781941361,0.858163119161909
flash_triton,fp32,16384,16,ok,0.007449561821704265,3.918794824781944
flash_triton,fp32,256,32,ok,0.0056351004604948685,0.005620485293038655
flash_triton,fp32,1024,32,ok,0.005648035670164972,0.01486226793960668
flash_triton,fp32,4096,32,ok,0.005781726299028378,0.2205051365098916
flash_triton,fp32,8192,32,ok,0.0064331021488760595,0.8885097946898896
flash_triton,fp32,16384,32,ok,0.014224420580139849,3.6344387992689735
flash_triton,fp32,256,64,ok,0.005669110928138253,0.005671458120341413
flash_triton,fp32,1024,64,ok,0.005692788481828756,0.014829830381204374
flash_triton,fp32,4096,64,ok,0.005987514077860396,0.2292380128215882
flash_triton,fp32,8192,64,ok,0.0070523200219031424,0.9163784351001959
