config_model_size,config_context_length,config_batch_size,config_mode,config_precision,mean_seconds,stdev_seconds
2.7b,128,4,forward,fp32,0.266984250099631,0.0042058037705666644
2.7b,128,4,forward,fp32,0.2853510987042682,0.007000646045831997
2.7b,128,4,forward_backward,fp32,0.8076699249970261,0.0044998245668584685
2.7b,128,4,forward_backward,fp32,0.8532667046965798,0.0042989376192037465
2.7b,128,4,train_step,fp32,1.0084027230972423,0.0005336488341033049
2.7b,128,4,train_step,fp32,1.032948758394923,0.0015389350965883289
large,128,4,forward,fp32,0.1582176542025991,0.016961551762679813
large,128,4,forward,fp32,0.2081887025036849,0.0037852210671980298
large,128,4,forward_backward,fp32,0.5002295922982739,0.006123408133162203
large,128,4,forward_backward,fp32,0.46313103729626165,0.012939100177920852
large,128,4,train_step,fp32,0.6948641186987515,0.009199735062560098
large,128,4,train_step,fp32,0.4920826479938114,0.07865128179107546
medium,128,4,forward,fp32,0.07922496699902695,0.005977201575266318
medium,128,4,forward,fp32,0.07085617950069718,0.006434731968980863
medium,128,4,forward_backward,fp32,0.26707777829724366,0.0055313827300537445
medium,128,4,forward_backward,fp32,0.22385391519928816,0.010862113248161836
medium,128,4,train_step,fp32,0.2881726558000082,0.028189811630039197
medium,128,4,train_step,fp32,0.34827847910346466,0.03551723491458853
small,128,4,forward,fp32,0.026051829705829734,0.005469776357156277
small,128,4,forward,fp32,0.03475916469469666,0.006348534526039571
small,128,4,forward_backward,fp32,0.07230625390366185,0.005987650421279411
small,128,4,forward_backward,fp32,0.08524324260361027,0.0071045355188710056
small,128,4,train_step,fp32,0.09054637800145429,0.005836331950124916
small,128,4,train_step,fp32,0.0578053321922198,0.002659011032809919
xl,128,4,forward,fp32,0.2503242840990424,0.003973798189847008
xl,128,4,forward,fp32,0.2859711013996275,0.009315514357406992
xl,128,4,forward_backward,fp32,0.6225719684967771,0.1073614317610343
xl,128,4,forward_backward,fp32,1.0520876740047242,0.0008692136791168447
xl,128,4,train_step,fp32,0.8047525283007417,0.006003472141795564
xl,128,4,train_step,fp32,0.5762165091058705,0.01584579682337081
