result_path,run_dir,config_backend,config_device_type,config_world_size,config_size_mb,config_warmup_steps,config_measure_steps,config_master_port,config_campaign,config_output_root,status,mean_seconds,stdev_seconds,min_seconds,max_seconds,error
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_100mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_100mb,gloo,cpu,2,100,5,10,29702,assignment_section2_allreduce_full,data/section2,ok,0.040238025790313256,0.012230836360874065,0.03333485999610275,0.0746400459902361,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_1024mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_1024mb,gloo,cpu,2,1024,5,10,29703,assignment_section2_allreduce_full,data/section2,ok,0.37589635950280353,0.015994432773704603,0.3564208259922452,0.3960224069887772,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_10mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_10mb,gloo,cpu,2,10,5,10,29701,assignment_section2_allreduce_full,data/section2,ok,0.005681861704215407,0.002017464052935925,0.0033431690535508096,0.00878035498317331,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_1mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws2_1mb,gloo,cpu,2,1,5,10,29700,assignment_section2_allreduce_full,data/section2,ok,0.0009380420029629022,0.0004185812963109215,0.0005214580451138318,0.0015206619864329696,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_100mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_100mb,gloo,cpu,4,100,5,10,29706,assignment_section2_allreduce_full,data/section2,ok,0.08800118819926865,0.015946445977825952,0.0688241200405173,0.11154749494744465,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_1024mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_1024mb,gloo,cpu,4,1024,5,10,29707,assignment_section2_allreduce_full,data/section2,ok,0.8636959619936533,0.05038610927879394,0.762292443017941,0.9399927589693107,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_10mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_10mb,gloo,cpu,4,10,5,10,29705,assignment_section2_allreduce_full,data/section2,ok,0.01163611119845882,0.003057101674078595,0.007481359003577381,0.01668263296596706,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_1mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws4_1mb,gloo,cpu,4,1,5,10,29704,assignment_section2_allreduce_full,data/section2,ok,0.0014369999116752297,0.00022586515193908513,0.0010709980269894004,0.001730285002849996,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_100mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_100mb,gloo,cpu,6,100,5,10,29710,assignment_section2_allreduce_full,data/section2,ok,0.15255430819233878,0.014232728791593147,0.1272350630024448,0.16633320099208504,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_1024mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_1024mb,gloo,cpu,6,1024,5,10,29711,assignment_section2_allreduce_full,data/section2,ok,1.5095595279999543,0.05637213783425381,1.4377730939886533,1.6384879169636406,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_10mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_10mb,gloo,cpu,6,10,5,10,29709,assignment_section2_allreduce_full,data/section2,ok,0.017116722604259848,0.004207732386729766,0.012636976956855506,0.024401869042776525,
data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_1mb/result.json,data/section2/assignment_section2_allreduce_full/gloo_cpu_ws6_1mb,gloo,cpu,6,1,5,10,29708,assignment_section2_allreduce_full,data/section2,ok,0.002137605694588274,0.0003865556208036844,0.0016431920230388641,0.0029520359821617603,
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_100mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_100mb,nccl,cuda,2,100,5,10,30070,assignment_section2_allreduce_full,data/section2,ok,0.02170668261242099,0.005438466718250993,0.011182449001353234,0.03212771698599681,
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_1024mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_1024mb,nccl,cuda,2,1024,5,10,30994,assignment_section2_allreduce_full,data/section2,ok,0.21822129481006414,0.01326121605986606,0.20332485798280686,0.24401814601151273,
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_10mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_10mb,nccl,cuda,2,10,5,10,29980,assignment_section2_allreduce_full,data/section2,ok,0.0050144954991992565,0.002802496432942185,0.0031449980451725423,0.011286084016319364,
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_1mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws2_1mb,nccl,cuda,2,1,5,10,29971,assignment_section2_allreduce_full,data/section2,ok,0.0016438206017483025,0.0026867537311547718,0.000285615969914943,0.006748515006620437,
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_100mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_100mb,nccl,cuda,4,100,5,10,29718,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=4 CUDA ranks but only found 2 GPUs
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_1024mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_1024mb,nccl,cuda,4,1024,5,10,29719,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=4 CUDA ranks but only found 2 GPUs
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_10mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_10mb,nccl,cuda,4,10,5,10,29717,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=4 CUDA ranks but only found 2 GPUs
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_1mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws4_1mb,nccl,cuda,4,1,5,10,29716,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=4 CUDA ranks but only found 2 GPUs
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_100mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_100mb,nccl,cuda,6,100,5,10,29722,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=6 CUDA ranks but only found 2 GPUs
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_1024mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_1024mb,nccl,cuda,6,1024,5,10,29723,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=6 CUDA ranks but only found 2 GPUs
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_10mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_10mb,nccl,cuda,6,10,5,10,29721,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=6 CUDA ranks but only found 2 GPUs
data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_1mb/result.json,data/section2/assignment_section2_allreduce_full/nccl_cuda_ws6_1mb,nccl,cuda,6,1,5,10,29720,assignment_section2_allreduce_full,data/section2,skipped,,,,,Requested world_size=6 CUDA ranks but only found 2 GPUs
